filepath,filename,label,label_encoded,width,height,aspect_ratio,file_size_kb,split
/content/acne_dataset/AcneDataset/valid/Cyst/cystic_acne_-6-_jpg.rf.be59a6a777d2ed4ccb299d7c9fb4fb89.jpg,cystic_acne_-6-_jpg.rf.be59a6a777d2ed4ccb299d7c9fb4fb89.jpg,Cyst,1,640,640,1.0,30.5908203125,train
/content/acne_dataset/AcneDataset/train/Whiteheads/white_head_-10-_jpg.rf.f8577df46c1189a88ff687fc8aa35581.jpg,white_head_-10-_jpg.rf.f8577df46c1189a88ff687fc8aa35581.jpg,Whiteheads,4,640,640,1.0,30.212890625,train
/content/acne_dataset/AcneDataset/train/Cyst/cystic_acne_-10-_jpg.rf.17af78776a1be6a25ee3a3da0f58aaf5.jpg,cystic_acne_-10-_jpg.rf.17af78776a1be6a25ee3a3da0f58aaf5.jpg,Cyst,1,640,640,1.0,32.201171875,train
/content/acne_dataset/AcneDataset/valid/Papules/papular_acne_-38-_jpg.rf.b2f3ff5c46f500ed34b358ebf2b7b991.jpg,papular_acne_-38-_jpg.rf.b2f3ff5c46f500ed34b358ebf2b7b991.jpg,Papules,2,640,640,1.0,26.7236328125,train
/content/acne_dataset/AcneDataset/train/Cyst/cystic_acne_-136-_jpg.rf.2bb5ab3df8e5eb593885baecedd508b9.jpg,cystic_acne_-136-_jpg.rf.2bb5ab3df8e5eb593885baecedd508b9.jpg,Cyst,1,640,640,1.0,30.2900390625,train
/content/acne_dataset/AcneDataset/train/Cyst/cystic_acne_-84-_jpg.rf.d43436b195df0777ea6269f673cd2971.jpg,cystic_acne_-84-_jpg.rf.d43436b195df0777ea6269f673cd2971.jpg,Cyst,1,640,640,1.0,25.73046875,train
/content/acne_dataset/AcneDataset/train/Cyst/cystic_acne_-68-_jpg.rf.3d87ecab14b0c9fd316db1397f595cad.jpg,cystic_acne_-68-_jpg.rf.3d87ecab14b0c9fd316db1397f595cad.jpg,Cyst,1,640,640,1.0,27.8369140625,train
/content/acne_dataset/AcneDataset/valid/Cyst/cystic_acne_-91-_jpg.rf.629f92da80adb4ecff7c86ae286735fb.jpg,cystic_acne_-91-_jpg.rf.629f92da80adb4ecff7c86ae286735fb.jpg,Cyst,1,640,640,1.0,28.8564453125,train
/content/acne_dataset/AcneDataset/test/Cyst/cystic_acne_-84-_jpg.rf.a8a96178d1827eb78a82d470b13dffd9.jpg,cystic_acne_-84-_jpg.rf.a8a96178d1827eb78a82d470b13dffd9.jpg,Cyst,1,640,640,1.0,28.5625,train
/content/acne_dataset/AcneDataset/valid/Pustules/pustular_acne_-317-_jpg.rf.6ca681343dfdaab4566714345ae326ad.jpg,pustular_acne_-317-_jpg.rf.6ca681343dfdaab4566714345ae326ad.jpg,Pustules,3,640,640,1.0,25.5009765625,train
