epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.3683070242404938,0.690617561340332,0.0010000000474974513,1.718139410018921,0.43454039096832275,0.24141132831573486,0.47330448031425476,0.8169719576835632,1.412628173828125,0.824999988079071,0.095238097012043
1,0.47013309597969055,0.7804239392280579,0.0010000000474974513,1.386492371559143,0.6150767207145691,0.28536057472229004,0.5613275766372681,0.865382194519043,1.3026810884475708,0.9545454382896423,0.1818181872367859
2,0.5017022490501404,0.8090741038322449,0.0010000000474974513,1.304465651512146,0.6976421475410461,0.3113587200641632,0.5772005915641785,0.8765866160392761,1.2577520608901978,0.9750000238418579,0.22510822117328644
3,0.5512225031852722,0.8410142660140991,0.0010000000474974513,1.2218310832977295,0.7296222448348999,0.34076136350631714,0.6118326187133789,0.8947838544845581,1.1761008501052856,0.8712121248245239,0.331890344619751
4,0.5834106802940369,0.8565595746040344,0.0010000000474974513,1.181955337524414,0.7425925731658936,0.37233054637908936,0.6118326187133789,0.9041284322738647,1.159511685371399,0.8538206219673157,0.3708513677120209
5,0.6084803342819214,0.873532772064209,0.0010000000474974513,1.1392004489898682,0.7647058963775635,0.4063757359981537,0.6089466214179993,0.9070100784301758,1.1678931713104248,0.7876105904579163,0.38528138399124146
6,0.6255029439926147,0.8858606219291687,0.0010000000474974513,1.1111897230148315,0.7771117091178894,0.44134941697120667,0.6782106757164001,0.9312543869018555,1.0894969701766968,0.882539689540863,0.40115439891815186
7,0.6251934170722961,0.8910388946533203,0.0010000000474974513,1.1023905277252197,0.7945131659507751,0.4571340084075928,0.6883116960525513,0.9361306428909302,1.072278618812561,0.8591549396514893,0.44011545181274414
8,0.6685236692428589,0.908326268196106,0.0010000000474974513,1.0498429536819458,0.8057517409324646,0.49427422881126404,0.7142857313156128,0.9451845288276672,1.0342810153961182,0.9048991203308105,0.4531024396419525
9,0.6843082904815674,0.9089093208312988,0.0010000000474974513,1.0441081523895264,0.8137896060943604,0.5004642605781555,0.7489177584648132,0.9507123827934265,1.006943941116333,0.9274193644523621,0.4978354871273041
10,0.6682142019271851,0.9117382764816284,0.0010000000474974513,1.0400499105453491,0.8053491711616516,0.5032497644424438,0.7388167381286621,0.9459161758422852,1.0009738206863403,0.9120603203773499,0.523809552192688
11,0.6988548636436462,0.918946385383606,0.0010000000474974513,1.0111957788467407,0.8295618891716003,0.5332714319229126,0.7633477449417114,0.9586256146430969,0.9738924503326416,0.9177057147026062,0.5310245156288147
12,0.6911172866821289,0.9229079484939575,0.0010000000474974513,1.0048068761825562,0.8327775001525879,0.5410089492797852,0.7229437232017517,0.9535970687866211,1.004157304763794,0.8851674795150757,0.5339105129241943
13,0.7149489521980286,0.9292443990707397,0.0010000000474974513,0.985302209854126,0.8292011022567749,0.5589600801467896,0.7676767706871033,0.9591477513313293,0.9621307849884033,0.8914549946784973,0.5569985508918762
14,0.727948009967804,0.9327551126480103,0.0010000000474974513,0.9721280932426453,0.8405863642692566,0.5679356455802917,0.7821067571640015,0.9638827443122864,0.942427933216095,0.9051918983459473,0.5786435604095459
15,0.747446596622467,0.9395163655281067,0.0010000000474974513,0.9481503963470459,0.8646953701972961,0.5973382592201233,0.7518037557601929,0.9642297625541687,0.9481123685836792,0.8832271695137024,0.6002886295318604
16,0.7508511543273926,0.9419866800308228,0.0010000000474974513,0.9403201341629028,0.8626350164413452,0.618074893951416,0.7748917937278748,0.9638185501098633,0.9373353719711304,0.8870292901992798,0.6118326187133789
17,0.7421850562095642,0.9406445622444153,0.0010000000474974513,0.9448767304420471,0.8533568978309631,0.5979573130607605,0.7748917937278748,0.9659518003463745,0.9265382289886475,0.9081419706344604,0.6277056336402893
18,0.7660167217254639,0.9445096254348755,0.0010000000474974513,0.9319299459457397,0.8619658350944519,0.6242649555206299,0.7777777910232544,0.9661284685134888,0.9441692233085632,0.8842105269432068,0.6060606241226196
19,0.7780872583389282,0.9528712034225464,0.0010000000474974513,0.9087039232254028,0.8748953938484192,0.6471680402755737,0.8008658289909363,0.972617506980896,0.8805673122406006,0.9158512949943542,0.6753246784210205
20,0.7672547101974487,0.9497894048690796,0.0010000000474974513,0.9151314496994019,0.8683876395225525,0.6350975036621094,0.8109667897224426,0.9730993509292603,0.8833611011505127,0.9168316721916199,0.668109655380249
21,0.799752414226532,0.960584819316864,0.0010000000474974513,0.8721646070480347,0.8901592493057251,0.6747137308120728,0.8282828330993652,0.9756031036376953,0.8542795777320862,0.9168207049369812,0.7157287001609802
22,0.7818012833595276,0.9526610374450684,0.0010000000474974513,0.9048108458518982,0.8707317113876343,0.6629526615142822,0.8383838534355164,0.976826548576355,0.8435841798782349,0.9239543676376343,0.701298713684082
23,0.7883008122444153,0.9550272822380066,0.0010000000474974513,0.8929648995399475,0.87320476770401,0.6586196422576904,0.8340548276901245,0.978958249092102,0.8463826775550842,0.9262135624885559,0.6883116960525513
24,0.7991334199905396,0.9601892232894897,0.0010000000474974513,0.8769642114639282,0.8821642994880676,0.6812132596969604,0.8354978561401367,0.9789999723434448,0.8562221527099609,0.929961085319519,0.6897546648979187
